Adress;Postnr;Postort;Nytt Postnr;Ny Postort
Padderyds Nabb 111;37033;TVING;37340;TVING
Bjuröklubb 694;93010;LÖVÅNGER;93293;LÖVÅNGER
Gudmundsbyn 201;85751;SUNDSVALL;86342;SUNDSVALL
Slättarödsvägen 113;28020;BJÄRNUM;28261;BJÄRNUM
Årskogen 777;82077;GNARP;82962;GNARP
Röjaregatan 4;66050;VÅLBERG;66452;VÅLBERG
Slåttervägen 11;82022;SANDARNE;82672;SANDARNE
Olnirsvägen 26B;82060;DELSBO;82470;DELSBO
Lönnbergsvägen 3;82070;BERGSJÖ;82950;BERGSJÖ
Silverstavägen 25;35250;VÄXJÖ;35273;VÄXJÖ
Farstorp 1280;28023;HÄSTVEDA;28276;HÄSTVEDA
Kantorsvägen 8D;35250;VÄXJÖ;35273;VÄXJÖ
Hennan Cafevägen 11;82046;RAMSJÖ;82775;RAMSJÖ
Bjärme 145;86025;KOVLAND;85592;KOVLAND
Blistorpsvägen 540-26;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Bro 18;36024;LINNERYD;36297;LINNERYD
Sigislaryd 122;38040;ORREFORS;38272;ORREFORS
Lönnbergsvägen 19;82070;BERGSJÖ;82950;BERGSJÖ
Gruvbyn Kårbölevägen 72;82050;LOS;82770;LOS
Sturkmans väg 24;37043;STURKÖ;37362;STURKÖ
Björkliden 14;28022;VITTSJÖ;28267;VITTSJÖ
Sundsvägen 115;82046;RAMSJÖ;82776;RAMSJÖ
Stora vägen 25;36052;KOSTA;36543;KOSTA
Stormens väg 6;66060;MOLKOM;65597;MOLKOM
Mossgatan 12;57001;RÖRVIK;57693;RÖRVIK
Ringvägen 19;28023;HÄSTVEDA;28274;HÄSTVEDA
Västansjö 130;86025;KOVLAND;85592;KOVLAND
Ålbovägen 48;81040;HEDESUNDA;81895;HEDESUNDA
Västerberge 130;82060;DELSBO;82474;DELSBO
Änga 509;82060;DELSBO;82474;DELSBO
Broby Svenstorp 1;57012;LANDSBRO;57472;LANDSBRO
Malungen 54;82078;HASSELA;82998;HASSELA
Sanderovägen 2;23691;HÖLLVIKEN;23661;HÖLLVIKEN
Kolmilevägen 6;66052;EDSVALLA;66493;EDSVALLA
Fjusnäs 133;82078;HASSELA;82998;HASSELA
Alevägen 8;37043;STURKÖ;37361;STURKÖ
Norra Fredskog 1484;28020;BJÄRNUM;28265;BJÄRNUM
Fågelsjö Rävholmsvägen 11;82050;LOS;82770;LOS
Torshultamåla 108;38044;ALSTERBRO;38274;ALSTERBRO
Bjällemadvägen 5;43278;TVÅÅKER;43279;TVÅÅKER
Traneboda 728;28070;LÖNSBODA;28394;LÖNSBODA
Steneby kyrka;66010;DALS LÅNGED;66694;DALS LÅNGED
Herrgårdsvägen 5;82023;BERGVIK;82667;BERGVIK
Strandvägen 31;82022;SANDARNE;82672;SANDARNE
Schwerinvägen 16;35249;VÄXJÖ;35272;VÄXJÖ
Lindforsvägen 16;66060;MOLKOM;65597;MOLKOM
Tynningösundsvägen 17;18592;VAXHOLM;13492;TYNNINGÖ
Ingenjörsvägen 51;66050;VÅLBERG;66450;VÅLBERG
Högabergsvägen 9;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Kävsta 135;86040;INDAL;85597;INDAL
Hjälmseryd Björkelund 1;57002;STOCKARYD;57694;STOCKARYD
Bäckängsvägen 12;66052;EDSVALLA;66493;EDSVALLA
Kastanjevägen 9;66050;VÅLBERG;66451;VÅLBERG
Prästgatan 16;57002;STOCKARYD;57694;STOCKARYD
Villervallavägen 1;82041;FÄRILA;82760;FÄRILA
Strönhult 2114;28070;LÖNSBODA;28394;LÖNSBODA
Sörby Mosavägen 6;82040;JÄRVSÖ;82752;JÄRVSÖ
Uddvägen 16C;93070;MALÅ;93932;MALÅ
Krånge 185;86025;KOVLAND;85592;KOVLAND
Strålvägen 31;86030;SÖRBERGE;86143;SÖRBERGE
Hagnarp 2453;28023;HÄSTVEDA;28276;HÄSTVEDA
Idrottsvägen 12;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Friggesundsvägen 7;82062;BJURÅKER;82478;BJURÅKER
Båtsmansvägen 92;37043;STURKÖ;37362;STURKÖ
Prästgårdsvägen 2;36023;ÄLMEBODA;36298;ÄLMEBODA
Oxelvägen 5;28022;VITTSJÖ;28266;VITTSJÖ
Kvarnsvedsvägen 56;86013;STÖDE;86496;STÖDE
Kolbottsvägen 3;66052;EDSVALLA;66493;EDSVALLA
Sandfors 3;93070;MALÅ;93994;MALÅ
Hammarsvall 6;82060;DELSBO;82473;DELSBO
Ellavägen 32;28010;SÖSDALA;28272;SÖSDALA
Sävsjövägen 8;57012;LANDSBRO;57472;LANDSBRO
Gökhöjdsvägen 11;66050;VÅLBERG;66494;VÅLBERG
Liljevägen 13;52333;ULRICEHAMN;52340;ULRICEHAMN
Nottebäcks-Skruv Grönelund;36071;NORRHULT;36444;NORRHULT
Ellavägen 16;28010;SÖSDALA;28272;SÖSDALA
Skånegatan 160;43230;VARBERG;43239;VARBERG
Allstavägen 7;85590;SUNDSVALL;85358;SUNDSVALL
Tallvägen 10;57010;KORSBERGA;57476;KORSBERGA
Bråte 533;66050;VÅLBERG;66494;VÅLBERG
Ångevägen 94;82046;RAMSJÖ;82776;RAMSJÖ
Rösabergsvägen 3;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Vallgatan 7;57012;LANDSBRO;57472;LANDSBRO
Byn 749;82077;GNARP;82961;GNARP
Hånick 237;82075;HARMÅNGER;82995;HARMÅNGER
Svedja 307;82060;DELSBO;82472;DELSBO
Bredåker 217;82070;BERGSJÖ;82951;BERGSJÖ
Utsiktsvägen 15;31138;FALKENBERG;31178;FALKENBERG
Gisslaboda 2464;28070;LÖNSBODA;28394;LÖNSBODA
Ringvägen 10;28040;SKÅNES FAGERHULT;28673;SKÅNES FAGERHULT
Gamla vägen 8;28022;VITTSJÖ;28267;VITTSJÖ
Prostvägen 5;36043;ÅRYD;35575;ÅRYD
Ässjö 189;82078;HASSELA;82998;HASSELA
Sörböle 107;83021;TANDSBYN;83499;TANDSBYN
Källvägen 11;29060;KYRKHULT;29374;KYRKHULT
Ängesland 400;86035;SÖRÅKER;86194;SÖRÅKER
Norrgatan 7;57013;MYRESJÖ;57471;MYRESJÖ
Björkefallsvägen 603;29060;KYRKHULT;29394;KYRKHULT
Rådjursgränd 1;86030;SÖRBERGE;86143;SÖRBERGE
Johannishusvägen 6;37033;TVING;37340;TVING
Kyrkovägen 4;82041;FÄRILA;82760;FÄRILA
Härjedalsvägen 183;82041;FÄRILA;82760;FÄRILA
Storgatan 9N;66060;MOLKOM;65561;MOLKOM
Bergnäs 16;82065;FORSA;82462;FORSA
Hamravägen 104;82051;HAMRA;82771;HAMRA
Farstorps-Tågarp 1459;28023;HÄSTVEDA;28276;HÄSTVEDA
Arklo 118;86040;INDAL;85597;INDAL
Marmorgatan 102;43238;VARBERG;43256;VARBERG
Dalanshultsvägen 111;29060;KYRKHULT;29394;KYRKHULT
Åsbergsvägen 18;81040;HEDESUNDA;81895;HEDESUNDA
Ängsvägen 25;23691;HÖLLVIKEN;23661;HÖLLVIKEN
Ljussjön 411;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Toftenvägen 7;47196;BLEKET;47150;BLEKET
Svensbygd 8;57002;STOCKARYD;57694;STOCKARYD
Ruveboda Södergård 2;36024;LINNERYD;36297;LINNERYD
Iste 3206;82011;VALLSTA;82168;VALLSTA
Vilshultsvägen 15;29060;KYRKHULT;29374;KYRKHULT
Stömne 47;82060;DELSBO;82471;DELSBO
Forsavägen 7;82065;FORSA;82460;FORSA
Gåltjärn 170;86025;KOVLAND;85592;KOVLAND
Björnhult 14;57010;KORSBERGA;57476;KORSBERGA
Västerbyn 103;77071;STJÄRNSUND;77674;STJÄRNSUND
Korhallsvägen 22;43278;TVÅÅKER;43279;TVÅÅKER
Finnekumla 280;52011;VEGBY;52362;VEGBY
Lidenvägen 84;86041;LIDEN;85599;LIDEN
Hässlegatan 22;28023;HÄSTVEDA;28275;HÄSTVEDA
Älvsätravägen 7;82040;JÄRVSÖ;82752;JÄRVSÖ
Matnäs 62;82065;FORSA;82461;FORSA
Skärvälla 14;57003;VRIGSTAD;57697;VRIGSTAD
Gravörgatan 5;38040;ORREFORS;38271;ORREFORS
Hällingen 150;86041;LIDEN;85598;LIDEN
Myrvägen 2;82072;STRÖMSBRUK;82495;STRÖMSBRUK
Castorgatan 12B;90753;UMEÅ;90752;UMEÅ
Långholmen 3;82065;FORSA;82461;FORSA
Hagmoren 3369;82011;VALLSTA;82168;VALLSTA
Snöbärsvägen 2;28022;VITTSJÖ;28266;VITTSJÖ
Nygatan 42;82020;LJUSNE;82675;LJUSNE
Sösdala 1102;28010;SÖSDALA;28272;SÖSDALA
Hökön 1200;28072;KILLEBERG;28396;KILLEBERG
Pikudden 202;86035;SÖRÅKER;86194;SÖRÅKER
Glumserud 387;66057;VÄSE;65596;VÄSE
Skeppnabbavägen 21;37042;TORHAMN;37371;TORHAMN
Häggvägen 1;66050;VÅLBERG;66451;VÅLBERG
Långsbyvägen 74;77070;LÅNGSHYTTAN;77673;LÅNGSHYTTAN
Uslandsvägen 89;86013;STÖDE;86495;STÖDE
Fästeredssund 192;52011;VEGBY;52362;VEGBY
Vetlandavägen 42;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Dalgatan 4;86030;SÖRBERGE;86141;SÖRBERGE
Sörnedansjö 194;86013;STÖDE;86495;STÖDE
Storhullsjöviken 146;86013;STÖDE;86496;STÖDE
Hennan Lövaviksvägen 3;82046;RAMSJÖ;82775;RAMSJÖ
Suttertjärn 427;66060;MOLKOM;65597;MOLKOM
Järkvissle 136;86041;LIDEN;85599;LIDEN
Gettorget 109;86013;STÖDE;86496;STÖDE
Platåvägen 4;31138;FALKENBERG;31178;FALKENBERG
Slageryd övregård 12;57010;KORSBERGA;57475;KORSBERGA
Ölsund 202;82065;FORSA;82461;FORSA
Rörviks gård 20;57001;RÖRVIK;57693;RÖRVIK
Barnstugevägen 10;82040;JÄRVSÖ;82751;JÄRVSÖ
Kärraboda 1141;28070;LÖNSBODA;28393;LÖNSBODA
Falkgatan 10;28022;VITTSJÖ;28267;VITTSJÖ
Simeå Ljungvägen 8117;82011;VALLSTA;82167;VALLSTA
Hamnäs 107;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Västerbyn Långsåsen 218;77071;STJÄRNSUND;77674;STJÄRNSUND
Los skolväg 9;82050;LOS;82770;LOS
Losvägen 33;82042;KORSKROGEN;82772;KORSKROGEN
Fanbyvägen 13;86013;STÖDE;86441;STÖDE
Medskogsbron 132;85590;SUNDSVALL;85358;SUNDSVALL
Gränsfors 71;82070;BERGSJÖ;82952;BERGSJÖ
Nypongränd 7;86035;SÖRÅKER;86152;SÖRÅKER
Kullsvägen 14E;34032;GRIMSLÖV;34254;GRIMSLÖV
Östra Tolbo 221;82060;DELSBO;82472;DELSBO
Gubbarp 4161A;28022;VITTSJÖ;28268;VITTSJÖ
Tand 507;83021;TANDSBYN;83499;TANDSBYN
Norrboån 212;82062;BJURÅKER;82478;BJURÅKER
Slättaröd 1067;28020;BJÄRNUM;28261;BJÄRNUM
Sträckåsvägen 9;52333;ULRICEHAMN;52341;ULRICEHAMN
Fröseke Källehult 1;36077;FRÖSEKE;36497;FRÖSEKE
Billavägen 5A;36043;ÅRYD;35575;ÅRYD
Ringvägen 16;82072;STRÖMSBRUK;82495;STRÖMSBRUK
Bergvägen 25;86030;SÖRBERGE;86143;SÖRBERGE
Norrhultsvägen 5;36071;NORRHULT;36444;NORRHULT
Åbovägen 45;82041;FÄRILA;82763;FÄRILA
Tomtvägen 18;82078;HASSELA;82998;HASSELA
Risinge Lilla Elingeryd;36043;ÅRYD;35575;ÅRYD
Åsgatan 6;28023;HÄSTVEDA;28275;HÄSTVEDA
Skästrabergsvägen 1;82040;JÄRVSÖ;82753;JÄRVSÖ
Kumlaby 44;56034;VISINGSÖ;56394;VISINGSÖ
Krokforsvägen 12;85590;SUNDSVALL;85358;SUNDSVALL
Båtbacken Norvägen 159;82040;JÄRVSÖ;82754;JÄRVSÖ
Övrarp 110;52011;VEGBY;52362;VEGBY
Sörviksgränd 3;86035;SÖRÅKER;86152;SÖRÅKER
Sörfjärden Gistvallsvägen 37A;82077;GNARP;82962;GNARP
Mörkhult 5221;28022;VITTSJÖ;28268;VITTSJÖ
Vitasjöstigen 8;28040;SKÅNES FAGERHULT;28674;SKÅNES FAGERHULT
Uddevallshyltan 111;38044;ALSTERBRO;38274;ALSTERBRO
Glumshammaren 306;66057;VÄSE;65596;VÄSE
Inälv 417;82064;NÄSVIKEN;82466;NÄSVIKEN
Tennisvägen 12;66060;MOLKOM;65560;MOLKOM
Krutvägen 9;77070;LÅNGSHYTTAN;77673;LÅNGSHYTTAN
Stavsjö 1;57021;MALMBÄCK;57169;MALMBÄCK
Genuagränd 9;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Åslidsgatan 6;66050;VÅLBERG;66451;VÅLBERG
Vedmyra 105;82060;DELSBO;82474;DELSBO
Roren 2337;82011;VALLSTA;82168;VALLSTA
Kullsvägen 30;34032;GRIMSLÖV;34254;GRIMSLÖV
Hökmark 486;93010;LÖVÅNGER;93293;LÖVÅNGER
Rolandsbacke 219;86035;SÖRÅKER;86195;SÖRÅKER
Ölbovägen 97;81040;HEDESUNDA;81896;HEDESUNDA
Industrigatan 4;36071;NORRHULT;36444;NORRHULT
Rullbo Svartåvallsvägen 10;82050;LOS;82770;LOS
Guttamåla 119;37033;TVING;37340;TVING
Bockholmen 1;82065;FORSA;82461;FORSA
Slättsås 1;82062;BJURÅKER;82479;BJURÅKER
Höjdgatan 33;57013;MYRESJÖ;57471;MYRESJÖ
Illerspåret 6;28010;SÖSDALA;28273;SÖSDALA
Sjövik 503;82022;SANDARNE;82672;SANDARNE
Björkgatan 8;28070;LÖNSBODA;28372;LÖNSBODA
Torpaskog 4;34032;GRIMSLÖV;34255;GRIMSLÖV
Stationsgatan 27;36077;FRÖSEKE;36497;FRÖSEKE
Lörshallsvägen 8;37044;TJURKÖ;37363;TJURKÖ
Gåeryd Solängen 3;57003;VRIGSTAD;57697;VRIGSTAD
Grimslöv Lilla Björsagård 1;34032;GRIMSLÖV;34255;GRIMSLÖV
Mörttjärn 9;93070;MALÅ;93994;MALÅ
Hennan Tomtebovägen 7;82046;RAMSJÖ;82775;RAMSJÖ
Rökinge 58;56034;VISINGSÖ;56394;VISINGSÖ
Björnhult 28;57010;KORSBERGA;57476;KORSBERGA
Kyrkbyn 4904;82010;ARBRÅ;82162;ARBRÅ
Kväcklingen 118;86041;LIDEN;85598;LIDEN
Rödjans väg 22;56029;TENHULT;56160;TENHULT
Utterstigen 52;66060;MOLKOM;65560;MOLKOM
Falkgatan 6;28070;LÖNSBODA;28371;LÖNSBODA
Klingsta 419;85590;SUNDSVALL;85358;SUNDSVALL
Hult 19;56031;TENHULT;56163;TENHULT
Stationsgatan 10A;66060;MOLKOM;65560;MOLKOM
Tallvägen 6;28010;SÖSDALA;28273;SÖSDALA
Norrhultsvägen 44E;36071;NORRHULT;36444;NORRHULT
Tunnerstad Ängen 1;56034;VISINGSÖ;56394;VISINGSÖ
Åsen Gärdet 2;66010;DALS LÅNGED;66694;DALS LÅNGED
Bergsgränd 2;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Ehingervägen 5;82062;BJURÅKER;82478;BJURÅKER
Bäckan Ramsjövägen 521;82046;RAMSJÖ;82775;RAMSJÖ
Myckeläng 827;86035;SÖRÅKER;86194;SÖRÅKER
Jonsbyn 434;66060;MOLKOM;65598;MOLKOM
Näckrosgatan 9;28070;LÖNSBODA;28371;LÖNSBODA
Östanskär 130;86040;INDAL;85597;INDAL
Arödskogen 2;47196;BLEKET;47150;BLEKET
Hult 7;36024;LINNERYD;36297;LINNERYD
Karlsgränd 7;57013;MYRESJÖ;57471;MYRESJÖ
Lillbergsvägen 33;82023;BERGVIK;82667;BERGVIK
Västerbyn 211;77071;STJÄRNSUND;77674;STJÄRNSUND
Trollbovägen 23;77070;LÅNGSHYTTAN;77672;LÅNGSHYTTAN
Stavshult 4231B;28022;VITTSJÖ;28268;VITTSJÖ
Annbacksvägen 19;82041;FÄRILA;82760;FÄRILA
Logvägen 37;30274;HALMSTAD;30276;HALMSTAD
Ortvägen 1G;93070;MALÅ;93931;MALÅ
Tallbacksgatan 5;52331;ULRICEHAMN;52341;ULRICEHAMN
Älvsbacka-Sund 504;66060;MOLKOM;65598;MOLKOM
Upphemsvägen 9;57023;ANNEBERG;57171;ANNEBERG
Storgatan 2;36065;BODA GLASBRUK;36197;BODA GLASBRUK
Härjedalsvägen 201;82041;FÄRILA;82760;FÄRILA
Forsavägen 16G;82065;FORSA;82460;FORSA
Skolvägen 3;36053;SKRUV;36594;SKRUV
Jesperslundsvägen 21;30230;HALMSTAD;30228;HALMSTAD
Bistigen 5;82060;DELSBO;82470;DELSBO
Midvintergatan 5;90753;UMEÅ;90752;UMEÅ
Bredåker 47;82060;DELSBO;82474;DELSBO
Strömmingsskär 19;72592;VÄSTERÅS;72590;VÄSTERÅS
Edebyvägen 26;86013;STÖDE;86496;STÖDE
Mårdvägen 8;82023;BERGVIK;82668;BERGVIK
Skansfors 156;82078;HASSELA;82998;HASSELA
Furuberg 331;82078;HASSELA;82998;HASSELA
Bussevik 206;37042;TORHAMN;37371;TORHAMN
Koldemo 4032;82010;ARBRÅ;82162;ARBRÅ
Tå 313;82062;BJURÅKER;82478;BJURÅKER
Tobias väg 6;31198;GLOMMEN;31154;GLOMMEN
Ava 645;86035;SÖRÅKER;86194;SÖRÅKER
Östra Tolbo 210;82060;DELSBO;82472;DELSBO
Nedre terrassgatan 47;66011;BILLINGSFORS;66641;BILLINGSFORS
Tomta 9;82064;NÄSVIKEN;82466;NÄSVIKEN
Holmgatan 11;57015;HOLSBYBRUNN;57454;HOLSBYBRUNN
Östra Järnvägsgatan 30;28023;HÄSTVEDA;28275;HÄSTVEDA
Killnäset 190;83021;TANDSBYN;83499;TANDSBYN
Ljussjön 407;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Postgatan 20B;57002;STOCKARYD;57694;STOCKARYD
Ängebo 87;82062;BJURÅKER;82479;BJURÅKER
Mellanvägen 17;82010;ARBRÅ;82161;ARBRÅ
Beatabacken 2;28022;VITTSJÖ;28266;VITTSJÖ
Ökna-Kopparp 1;57016;KVILLSFORS;57455;KVILLSFORS
Tynningösundsvägen 13;18592;VAXHOLM;13492;TYNNINGÖ
Gislatorp 103;38040;ORREFORS;38272;ORREFORS
Uvåsvägen 49;82040;JÄRVSÖ;82754;JÄRVSÖ
Repperda 12;57015;HOLSBYBRUNN;57454;HOLSBYBRUNN
Hässlegatan 10;28023;HÄSTVEDA;28275;HÄSTVEDA
Södra Lillängsvägen 3;81040;HEDESUNDA;81845;HEDESUNDA
Skålbo Sjölandsvägen 21;82040;JÄRVSÖ;82753;JÄRVSÖ
Lars-Månsvägen 22;82041;FÄRILA;82763;FÄRILA
Tynningövägen 44;18592;VAXHOLM;13492;TYNNINGÖ
Lövåsvägen 4;81040;HEDESUNDA;81896;HEDESUNDA
Ramgränd 1B;30271;HALMSTAD;30277;HALMSTAD
Lönsbodavägen 990-9;29062;VILSHULT;29395;VILSHULT
Hålsjö Mogabacken 5B;82064;NÄSVIKEN;82467;NÄSVIKEN
Nolby 589;66057;VÄSE;65595;VÄSE
Vetlandavägen 64;57010;KORSBERGA;57475;KORSBERGA
Sågtorp 12;66040;SEGMON;66496;SEGMON
Myresjö-Skögle 2;57013;MYRESJÖ;57471;MYRESJÖ
Smedbruksvägen 3;66052;EDSVALLA;66493;EDSVALLA
Mossvägen 25;86013;STÖDE;86441;STÖDE
Revirvägen 23;56030;TENHULT;56162;TENHULT
Bredaviksvägen 8;37043;STURKÖ;37361;STURKÖ
Östra Kåsjö 16;82040;JÄRVSÖ;82754;JÄRVSÖ
Granelundsvägen 1B;28020;BJÄRNUM;28262;BJÄRNUM
Klingsta 506;85590;SUNDSVALL;85358;SUNDSVALL
Silje 142;85590;SUNDSVALL;85591;SUNDSVALL
Stråtjärfäbodarna 631;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Siggaboda Farabolsvägen 810;29060;KYRKHULT;29394;KYRKHULT
Gränsvägen 7;38040;ORREFORS;38271;ORREFORS
Röstavägen 10;82065;FORSA;82460;FORSA
Tandsjöborg Brolles väg 17;82050;LOS;82770;LOS
Åkre 525;82060;DELSBO;82474;DELSBO
Backgatan 14;93070;MALÅ;93931;MALÅ
Steneby prästgård 1;66010;DALS LÅNGED;66694;DALS LÅNGED
Skarvtjärn 127;82075;HARMÅNGER;82995;HARMÅNGER
Södra Tjurkövägen 6;37044;TJURKÖ;37363;TJURKÖ
Dristigs väg 7;37043;STURKÖ;37361;STURKÖ
Sorrovägen 16;82041;FÄRILA;82760;FÄRILA
Vattenverksvägen 12;93010;LÖVÅNGER;93261;LÖVÅNGER
Ringvägen 7L;93010;LÖVÅNGER;93261;LÖVÅNGER
Ringvägen 2;36076;ÄLGHULT;36495;ÄLGHULT
Nottebäck Ödegård;36071;NORRHULT;36444;NORRHULT
Björkvägen 7;57010;KORSBERGA;57476;KORSBERGA
Alvägen 12;82021;VALLVIK;82679;VALLVIK
Harsavägen 80;82040;JÄRVSÖ;82753;JÄRVSÖ
Slaggatan 4;77070;LÅNGSHYTTAN;77671;LÅNGSHYTTAN
Långgatan 4;28010;SÖSDALA;28272;SÖSDALA
Danielsgatan 5;57023;ANNEBERG;57171;ANNEBERG
Nävelsjö Sällholmen 1;57012;LANDSBRO;57472;LANDSBRO
Rökinge Norrgård 3;56034;VISINGSÖ;56394;VISINGSÖ
Färjekarlsvägen 38;82010;ARBRÅ;82163;ARBRÅ
Rödmyra Hans-Ersvägen 8;82040;JÄRVSÖ;82753;JÄRVSÖ
Servins väg 1K;28020;BJÄRNUM;28261;BJÄRNUM
Roddvägen 8;82020;LJUSNE;82675;LJUSNE
Solbergaslingan 41;18592;VAXHOLM;13492;TYNNINGÖ
Farstorpsvägen 13;28020;BJÄRNUM;28264;BJÄRNUM
Backsvalevägen 3;56031;TENHULT;56163;TENHULT
Rösåsen 142;86025;KOVLAND;85592;KOVLAND
Mikje 9;82065;FORSA;82461;FORSA
Norromängsvägen 15;86013;STÖDE;86441;STÖDE
Enesundsvägen 2;66010;DALS LÅNGED;66695;DALS LÅNGED
Hovmansbygdsvägen 734-39;29060;KYRKHULT;29394;KYRKHULT
Skolgatan 13;66040;SEGMON;66496;SEGMON
Väse-Backa 349;66057;VÄSE;65596;VÄSE
Skånegatan 364;43230;VARBERG;43239;VARBERG
Vattlång 79;82071;ILSBO;82991;ILSBO
Näckrosvägen 4A;86013;STÖDE;86441;STÖDE
Galvvägen 1;82010;ARBRÅ;82160;ARBRÅ
Bygget 116;82070;BERGSJÖ;82951;BERGSJÖ
Forbondevägen 5;82060;DELSBO;82470;DELSBO
Vetlandavägen 10C;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Klavrevägen 1;36071;NORRHULT;36444;NORRHULT
Tallnäs Sundsvägen 197;82046;RAMSJÖ;82776;RAMSJÖ
Sturkövägen 43A;37043;STURKÖ;37361;STURKÖ
Klockarevägen 4;28072;KILLEBERG;28396;KILLEBERG
Åsedavägen 5;36076;ÄLGHULT;36495;ÄLGHULT
Lilla Loshult 1145;28072;KILLEBERG;28396;KILLEBERG
Hyttgatan 33;77070;LÅNGSHYTTAN;77671;LÅNGSHYTTAN
